Iteration,run-time(ms)
0,573
1,533
2,590
3,613
4,543
5,548
6,491
7,554
8,467
9,531
10,458
11,561
12,529
13,598
14,489
15,466
16,550
17,473
18,568
19,535
20,509
21,508
22,562
23,574
24,548
25,620
26,537
27,676
28,549
29,539
30,539
31,507
32,528
33,567
34,528
35,500
36,644
37,540
38,473
39,458
40,535
41,564
42,605
43,543
44,549
45,553
46,484
47,497
48,543
49,459
50,597
51,489
52,523
53,584
54,550
55,522
56,458
57,589
58,536
59,584
60,507
61,624
62,534
63,643
64,549
65,471
66,551
67,548
68,558
69,467
70,493
71,630
72,605
73,631
74,581
75,600
76,623
77,659
78,600
79,576
80,584
81,565
82,540
83,571
84,606
85,581
86,511
87,516
88,500
89,553
90,463
91,520
92,509
93,530
94,466
95,570
96,555
97,574
98,614
99,545
100,538
101,537
102,505
103,469
104,486
105,503
106,458
107,458
108,459
109,512
110,539
111,522
112,511
113,472
114,497
115,568
116,586
117,552
118,580
119,501
120,499
121,565
122,478
123,458
124,476
125,543
126,503
127,499
128,458
129,458
130,458
131,553
132,504
133,491
134,520
135,546
136,537
137,593
138,526
139,496
140,499
141,528
142,476
143,541
144,550
145,587
146,584
147,507
148,584
149,529
150,468
151,526
152,465
153,513
154,473
155,488
156,540
157,543
158,491
159,510
160,496
161,534
162,610
163,476
164,459
165,458
166,500
167,492
168,611
169,476
170,543
171,473
172,508
173,545
174,523
175,507
176,556
177,527
178,610
179,509
180,506
181,512
182,488
183,459
184,471
185,458
186,585
187,541
188,572
189,540
190,532
191,476
192,462
193,512
194,537
195,570
196,502
197,470
198,490
199,505
200,465
201,483
202,506
203,582
204,472
205,526
206,518
207,552
208,502
209,485
210,509
211,535
212,472
213,471
214,460
215,521
216,459
217,530
218,460
219,490
220,499
221,491
222,500
223,471
224,458
225,458
226,524
227,543
228,458
229,532
230,477
231,535
232,486
233,492
234,468
235,458
236,524
237,613
238,526
239,498
240,501
241,583
242,478
243,459
244,458
245,540
246,576
247,478
248,462
249,595
250,490
251,516
252,540
253,553
254,484
255,572
