Iteration,run-time(ms)
0,225
1,194
2,213
3,262
4,195
5,250
6,216
7,272
8,218
9,234
10,204
11,281
12,201
13,201
14,196
15,223
16,201
17,201
18,194
19,212
20,219
21,194
22,194
23,194
24,226
25,227
26,201
27,254
28,201
29,227
30,201
31,198
32,193
33,194
34,202
35,195
36,195
37,225
38,246
39,223
40,203
41,226
42,219
43,201
44,227
45,226
46,201
47,226
48,201
49,250
50,235
51,226
52,261
53,201
54,259
55,226
56,201
57,217
58,237
59,201
60,201
61,228
62,203
63,201
64,197
65,193
66,194
67,194
68,193
69,193
70,224
71,201
72,224
73,203
74,201
75,196
76,193
77,193
78,194
79,193
80,193
81,223
82,199
83,195
84,226
85,201
86,201
87,195
88,194
89,223
90,281
91,201
92,198
93,193
94,194
95,194
96,224
97,248
98,237
99,194
100,222
101,201
102,228
103,225
104,227
105,231
106,201
107,199
108,194
109,252
110,225
111,225
112,201
113,200
114,194
115,193
116,193
117,194
118,193
119,194
120,194
121,199
122,225
123,201
124,247
125,225
126,201
127,198
128,194
129,194
130,194
131,194
132,241
133,201
134,198
135,193
136,194
137,194
138,194
139,194
140,194
141,284
142,202
143,251
144,252
145,259
146,226
147,201
148,233
149,203
150,230
151,201
152,200
153,193
154,194
155,195
156,252
157,201
158,201
159,194
160,194
161,194
162,227
163,262
164,193
165,194
166,194
167,194
168,194
169,319
170,203
171,201
172,195
173,233
174,265
175,294
176,201
177,201
178,196
179,219
180,240
181,193
182,193
183,193
184,193
185,235
186,201
187,236
188,274
189,232
190,254
191,201
192,201
193,226
194,201
195,199
196,194
197,194
198,194
199,194
200,194
201,193
202,193
203,225
204,226
205,248
206,226
207,201
208,240
209,201
210,199
211,194
212,194
213,202
214,237
215,194
216,194
217,195
218,224
219,201
220,227
221,226
222,295
223,201
224,201
225,194
226,194
227,194
228,193
229,194
230,194
231,219
232,227
233,201
234,229
235,220
236,201
237,243
238,251
239,235
240,201
241,227
242,217
243,210
244,201
245,194
246,231
247,201
248,198
249,194
250,194
251,226
252,200
253,194
254,194
255,221
