Iteration,run-time(ms)
0,201
1,199
2,194
3,194
4,194
5,224
6,201
7,228
8,201
9,247
10,202
11,199
12,195
13,195
14,209
15,194
16,212
17,195
18,195
19,295
20,233
21,235
22,194
23,255
24,194
25,194
26,195
27,194
28,249
29,269
30,201
31,201
32,281
33,201
34,201
35,194
36,194
37,224
38,201
39,199
40,229
41,201
42,253
43,235
44,202
45,279
46,224
47,201
48,232
49,202
50,236
51,201
52,200
53,194
54,193
55,207
56,214
57,201
58,264
59,201
60,249
61,201
62,195
63,195
64,228
65,230
66,227
67,201
68,201
69,221
70,201
71,197
72,306
73,264
74,255
75,226
76,201
77,200
78,253
79,195
80,194
81,194
82,195
83,261
84,194
85,227
86,237
87,228
88,226
89,196
90,195
91,194
92,254
93,201
94,221
95,201
96,246
97,205
98,201
99,195
100,193
101,226
102,201
103,201
104,258
105,195
106,194
107,194
108,194
109,228
110,248
111,217
112,208
113,254
114,215
115,212
116,201
117,201
118,204
119,201
120,300
121,237
122,201
123,197
124,272
125,251
126,201
127,269
128,250
129,225
130,272
131,201
132,201
133,227
134,255
135,236
136,201
137,215
138,229
139,196
140,195
141,245
142,204
143,229
144,202
145,202
146,225
147,201
148,213
149,234
150,232
151,262
152,201
153,229
154,248
155,227
156,273
157,226
158,266
159,235
160,201
161,250
162,217
163,300
164,249
165,271
166,215
167,230
168,201
169,260
170,266
171,210
172,268
173,201
174,201
175,242
176,253
177,235
178,246
179,237
180,233
181,207
182,201
183,229
184,209
185,219
186,204
187,252
188,225
189,242
190,201
191,267
192,201
193,201
194,195
195,196
196,194
197,250
198,209
199,194
200,195
201,194
202,194
203,269
204,258
205,218
206,201
207,206
208,225
209,227
210,254
211,235
212,252
213,201
214,256
215,204
216,201
217,254
218,201
219,222
220,248
221,234
222,247
223,201
224,224
225,290
226,201
227,201
228,223
229,247
230,241
231,290
232,317
233,229
234,201
235,252
236,224
237,226
238,214
239,246
240,269
241,247
242,236
243,322
244,261
245,303
246,216
247,201
248,287
249,255
250,253
251,240
252,230
253,235
254,227
255,217
