Iteration,run-time(ms)
0,285
1,276
2,304
3,308
4,303
5,313
6,386
7,341
8,408
9,314
10,286
11,282
12,274
13,274
14,274
15,361
16,310
17,279
18,317
19,285
20,280
21,285
22,325
23,285
24,278
25,314
26,343
27,323
28,324
29,375
30,285
31,324
32,319
33,285
34,333
35,304
36,352
37,343
38,283
39,274
40,274
41,378
42,284
43,273
44,276
45,273
46,307
47,304
48,354
49,289
50,347
51,288
52,337
53,327
54,370
55,317
56,328
57,285
58,280
59,273
60,387
61,287
62,315
63,297
64,348
65,338
66,311
67,284
68,320
69,417
70,330
71,339
72,282
73,345
74,273
75,307
76,332
77,286
78,345
79,285
80,274
81,273
82,322
83,302
84,274
85,274
86,274
87,274
88,305
89,285
90,274
91,275
92,274
93,274
94,357
95,296
96,295
97,282
98,321
99,319
100,336
101,317
102,285
103,302
104,288
105,277
106,273
107,294
108,341
109,351
110,310
111,333
112,351
113,315
114,311
115,358
116,287
117,328
118,285
119,278
120,274
121,276
122,358
123,311
124,287
125,287
126,304
127,341
128,316
129,347
130,325
131,298
132,338
133,340
134,313
135,293
136,281
137,317
138,330
139,332
140,285
141,280
142,285
143,301
144,305
145,313
146,309
147,285
148,327
149,304
150,274
151,274
152,323
153,285
154,276
155,341
156,311
157,362
158,302
159,343
160,340
161,286
162,278
163,315
164,359
165,308
166,282
167,289
168,276
169,275
170,277
171,276
172,301
173,290
174,344
175,285
176,279
177,382
178,313
179,378
180,360
181,342
182,423
183,354
184,319
185,427
186,368
187,304
188,378
189,286
190,282
191,278
192,276
193,276
194,332
195,417
196,311
197,397
198,423
199,362
200,381
201,360
202,343
203,311
204,316
205,285
206,322
207,400
208,395
209,316
210,289
211,375
212,316
213,304
214,281
215,328
216,277
217,274
218,325
219,292
220,276
221,273
222,308
223,303
224,355
225,304
226,315
227,279
228,300
229,311
230,282
231,280
232,331
233,327
234,332
235,327
236,294
237,278
238,313
239,339
240,286
241,337
242,290
243,279
244,364
245,310
246,340
247,372
248,312
249,338
250,309
251,360
252,309
253,342
254,285
255,275
